timestamp_ms,sample_index,raw_ecg_mv
18.567,38676,-1232.401988
18.624,38677,-1231.340574
21.905,38678,-1231.758158
21.951,38679,-1231.848959
40.996,38680,-1230.940803
65.979,38681,-1232.031210
66.107,38682,-1231.108270
66.184,38683,-1231.814629
66.252,38684,-1231.784122
92.172,38685,-1230.801320
92.221,38686,-1232.011233
92.256,38687,-1231.173540
116.354,38688,-1231.648821
116.407,38689,-1231.566747
137.510,38690,-1230.616689
137.565,38691,-1231.918124
137.601,38692,-1230.957247
145.276,38693,-1231.265711
145.318,38694,-1231.351752
145.352,38695,-1230.590581
145.386,38696,-1231.913364
172.344,38697,-1231.208014
196.282,38698,-1231.739478
196.331,38699,-1231.783328
196.368,38700,-1230.880582
196.402,38701,-1232.230338
226.369,38702,-1231.647307
231.316,38703,-1232.120353
231.359,38704,-1232.001352
231.392,38705,-1231.267875
231.425,38706,-1232.481610
257.340,38707,-1231.363725
257.392,38708,-1231.135243
257.427,38709,-1228.267038
283.335,38710,-1225.090730
283.387,38711,-1229.705144
308.395,38712,-1231.878745
308.446,38713,-1232.972830
311.331,38714,-1233.064064
331.504,38715,-1231.747772
331.556,38716,-1232.448578
356.337,38717,-1231.530398
356.390,38718,-1231.898579
356.425,38719,-1231.695340
381.447,38720,-1230.942967
381.498,38721,-1232.155404
411.430,38722,-1231.160846
411.482,38723,-1231.589898
411.518,38724,-1231.422143
422.308,38725,-1230.775933
422.360,38726,-1231.998034
448.322,38727,-1230.751484
448.372,38728,-1231.353123
448.407,38729,-1231.317423
473.457,38730,-1230.392102
473.543,38731,-1231.365816
499.308,38732,-1230.372052
499.357,38733,-1230.695229
499.392,38734,-1230.409844
527.310,38735,-1229.639873
527.359,38736,-1230.529205
552.290,38737,-1229.416946
552.339,38738,-1230.548173
579.295,38739,-1230.632483
579.375,38740,-1230.093302
579.411,38741,-1231.511141
579.445,38742,-1230.843367
579.479,38743,-1231.753470
600.347,38744,-1231.833309
600.422,38745,-1231.261528
600.458,38746,-1232.466392
604.259,38747,-1231.608722
604.298,38748,-1232.302965
608.121,38749,-1232.039360
608.188,38750,-1231.409233
608.225,38751,-1232.824188
634.454,38752,-1231.889996
