timestamp_ms,sample_index,raw_ecg_mv
16.349,17164,-1212.486105
21.520,17165,-1212.469877
21.619,17166,-1212.199277
21.687,17167,-1210.712417
48.151,17168,-1212.190767
48.236,17169,-1210.991961
48.363,17170,-1211.912954
75.971,17171,-1210.327649
76.069,17172,-1211.272370
98.221,17173,-1211.803978
98.332,17174,-1211.016194
98.416,17175,-1210.649600
130.815,17176,-1211.913387
131.015,17177,-1211.014679
131.213,17178,-1212.523752
131.355,17179,-1211.263571
131.494,17180,-1212.126290
157.175,17181,-1212.271254
157.262,17182,-1210.437346
157.351,17183,-1212.145835
157.415,17184,-1211.613361
157.478,17185,-1211.165558
184.218,17186,-1211.121708
184.350,17187,-1210.687175
216.279,17188,-1210.412968
216.436,17189,-1212.053375
216.549,17190,-1211.998202
231.446,17191,-1212.536229
231.542,17192,-1212.598254
231.610,17193,-1212.497644
231.680,17194,-1212.557649
249.208,17195,-1212.510121
251.148,17196,-1212.423359
251.228,17197,-1212.288347
281.720,17198,-1212.136026
281.848,17199,-1211.127694
282.037,17200,-1212.565222
301.206,17201,-1212.392924
328.980,17202,-1210.460929
329.063,17203,-1210.661932
329.126,17204,-1210.672462
329.190,17205,-1212.270100
332.109,17206,-1212.636623
332.191,17207,-1210.633949
332.263,17208,-1212.442471
332.334,17209,-1212.134728
332.404,17210,-1211.636368
358.355,17211,0.351088
358.408,17212,5.028897
358.452,17213,6.731256
384.152,17214,2.127300
418.378,17215,-1212.348497
418.555,17216,-1212.123549
418.699,17217,-1212.074651
418.750,17218,-1210.757493
444.259,17219,-1212.424513
447.348,17220,-1212.523969
447.459,17221,-1212.459925
471.503,17222,-1212.417373
471.730,17223,-1212.471897
471.828,17224,-1212.407564
497.506,17225,-1212.430571
497.597,17226,-1212.323326
497.663,17227,-1212.328303
529.444,17228,-1212.259715
529.517,17229,-1212.151821
532.186,17230,-1212.150378
532.255,17231,-1212.038374
532.317,17232,-1212.009741
556.402,17233,-1211.910213
556.481,17234,-1211.764023
582.250,17235,-1211.707696
582.446,17236,-1211.523425
582.568,17237,-1211.456352
607.398,17238,-1211.318600
607.536,17239,-1211.171688
607.657,17240,-1211.149835
630.740,17241,-1211.022036
630.818,17242,-1211.017708
634.106,17243,-1211.051389
634.206,17244,-1211.167866
634.300,17245,-1211.439764
659.257,17246,-1211.640911
659.412,17247,-1211.660528
661.135,17248,-1210.314595
686.217,17249,-1212.260364
686.338,17250,-1211.016626
714.383,17251,-1212.417012
714.545,17252,-1210.761893
714.671,17253,-1212.039888
723.418,17254,-1212.462160
723.521,17255,-1210.801704
733.761,17256,-1212.149152
733.938,17257,-1212.248464
751.250,17258,-1212.076814
780.429,17259,-1212.477089
780.504,17260,-1211.123006
780.561,17261,-1212.471464
780.616,17262,-1212.117924
780.669,17263,-1212.063616
803.181,17264,-1212.464612
803.257,17265,-1212.317124
803.314,17266,-1212.113885
819.176,17267,-1211.685266
819.231,17268,-1212.083594
821.167,17269,-1212.494759
821.220,17270,-1211.731496
830.186,17271,-1212.481849
852.215,17272,-1212.055755
852.301,17273,-1211.325091
852.361,17274,-1212.231371
880.292,17275,-1210.687031
880.347,17276,-1212.503486
902.207,17277,-1211.312325
902.292,17278,-1210.337313
902.356,17279,-1211.889442
929.404,17280,-1210.813820
929.480,17281,-1212.562337
929.539,17282,-1212.292674
953.300,17283,-1212.187593
953.368,17284,-1212.258345
953.419,17285,-1210.825648
980.821,17286,-1212.556856
980.898,17287,-1212.611164
1006.182,17288,-1212.596739
1006.253,17289,-1212.577699
1006.305,17290,-1211.158995
1038.065,17291,-1212.571352
1062.162,17292,-1212.113452
1062.223,17293,-1212.234400
1062.268,17294,-1212.566809
1062.313,17295,-1211.471353
1090.424,17296,-1212.548274
1090.717,17297,-1212.598542
1090.826,17298,-1211.101874
1114.531,17299,-1212.515098
1116.253,17300,-1212.582748
1116.318,17301,-1212.488052
1133.248,17302,-1212.494399
1133.386,17303,-1212.409872
1133.495,17304,-1212.471969
1141.171,17305,-1212.577266
1141.299,17306,-1212.485528
1167.638,17307,-1211.002923
1191.280,17308,-1210.372580
1191.420,17309,-1211.940721
1191.530,17310,-1210.948688
1223.953,17311,-1212.223366
1224.199,17312,-1212.555125
1233.199,17313,-1211.569439
1233.284,17314,-1212.594143
1233.348,17315,-1212.620251
1233.411,17316,-1212.189685
1233.474,17317,-1211.122068
1233.538,17318,2.571785
1258.198,17319,6.368556
1258.286,17320,5.636594
1285.089,17321,-1210.654937
1285.180,17322,-1211.881653
1285.244,17323,-1212.234040
1309.206,17324,-1212.107250
1309.299,17325,-1212.290871
1339.212,17326,-1212.364868
1339.313,17327,-1212.292314
1339.394,17328,-1212.343520
1346.586,17329,-1212.323038
1346.693,17330,-1212.331909
1371.628,17331,-1212.288996
1371.732,17332,-1212.187737
1371.797,17333,-1212.197762
1396.194,17334,-1212.132276
1396.281,17335,-1212.153263
1422.199,17336,-1212.036715
1422.287,17337,-1211.882158
1422.354,17338,-1211.729116
1457.220,17339,-1211.746137
1457.313,17340,-1211.697455
1463.145,17341,-1211.615020
1463.224,17342,-1211.481667
1463.289,17343,-1211.391803
1488.165,17344,-1211.216548
1488.244,17345,-1211.130867
1514.184,17346,-1211.000976
1514.257,17347,-1210.858392
1514.309,17348,-1210.849665
1557.295,17349,-1210.756412
1557.399,17350,-1210.928999
1557.467,17351,-1211.102091
1557.532,17352,-1211.359781
1560.139,17353,-1211.665361
1567.189,17354,-1211.922835
1567.277,17355,-1212.169130
1591.283,17356,-1212.320658
1591.444,17357,-1212.343520
1617.687,17358,-1212.429345
1617.783,17359,-1212.410233
1617.870,17360,-1212.145186
1646.337,17361,-1212.054601
1646.483,17362,-1212.427470
1651.192,17363,-1210.932605
1651.275,17364,-1212.104293
1651.337,17365,-1211.852733
1683.455,17366,-1211.397645
1683.540,17367,-1211.625694
1683.602,17368,-1210.317552
1683.662,17369,-1212.174034
1703.309,17370,-1212.517982
1735.156,17371,-1212.508246
1735.239,17372,-1212.457256
1735.301,17373,-1211.720029
1735.360,17374,-1212.461006
1741.123,17375,-1212.519064
1741.193,17376,-1212.576401
1741.246,17377,-1212.497500
1769.308,17378,-1211.022252
1769.481,17379,-1212.396097
1769.615,17380,-1212.274283
1792.208,17381,-1210.916233
1792.299,17382,-1211.582204
1792.362,17383,-1211.397212
1823.798,17384,-1212.553178
1823.918,17385,-1211.698897
1824.001,17386,-1210.919623
1824.072,17387,-1212.560967
1850.369,17388,-1212.618881
1850.484,17389,-1212.535652
1850.573,17390,-1211.440990
1879.997,17391,-1211.155821
1881.444,17392,-1212.465766
1881.528,17393,-1212.453506
1902.166,17394,-1212.497788
1902.264,17395,-1211.158922
1902.359,17396,-1212.201008
1902.558,17397,-1211.177602
1924.480,17398,-1210.441817
1924.669,17399,-1212.205696
1924.861,17400,-1210.624501
1931.533,17401,-1210.948255
1935.100,17402,-1212.678814
1935.228,17403,-1211.044826
1935.317,17404,-1210.930297
1958.218,17405,-1212.651119
1983.177,17406,-1212.184781
1983.298,17407,-1210.990014
1983.382,17408,3.442149
1983.462,17409,6.589465
2008.980,17410,4.330976
2023.786,17411,0.492735
2024.257,17412,-1212.292747
2024.327,17413,-1211.031916
2024.417,17414,-1212.330250
2031.062,17415,-1212.253585
2056.277,17416,-1212.377201
2056.470,17417,-1212.379004
2081.144,17418,-1212.396313
2081.226,17419,-1212.336957
2081.288,17420,-1212.287410
2107.385,17421,-1212.365589
2107.537,17422,-1212.279043
2107.585,17423,-1212.218317
2107.631,17424,-1212.178722
2130.352,17425,-1212.079844
2130.438,17426,-1212.045442
2130.498,17427,-1211.970219
2130.556,17428,-1211.645166
2130.613,17429,-1211.777077
2153.625,17430,-1211.645888
2153.781,17431,-1211.702143
2153.904,17432,-1211.462194
2179.973,17433,-1211.338650
2180.053,17434,-1211.188637
2181.063,17435,-1210.983667
2181.129,17436,-1210.897265
2207.154,17437,-1210.748334
2207.241,17438,-1210.715807
2207.306,17439,-1210.721721
2229.208,17440,-1210.820167
2231.139,17441,-1211.119039
2231.208,17442,-1211.432119
2254.231,17443,-1211.785227
2254.320,17444,-1212.011328
2256.051,17445,-1212.210889
2256.106,17446,-1212.443409
2281.765,17447,-1212.469517
2306.236,17448,-1210.844761
2306.345,17449,-1210.988860
2306.428,17450,-1212.510482
2339.167,17451,-1211.121852
2339.330,17452,-1212.530099
2363.225,17453,-1211.814436
2363.351,17454,-1210.741699
2363.448,17455,-1211.723274
2390.179,17456,-1210.743862
2390.275,17457,-1211.646681
2416.254,17458,-1210.291227
2416.379,17459,-1212.180742
2416.476,17460,-1212.557072
2416.571,17461,-1212.611813
2416.653,17462,-1212.528584
2456.450,17463,-1212.564357
2456.708,17464,-1212.577194
2456.887,17465,-1212.541855
2457.065,17466,-1211.748805
2458.528,17467,-1212.555341
2483.305,17468,-1212.122972
2483.402,17469,-1211.032998
2483.484,17470,-1212.604456
2483.558,17471,-1212.637632
2511.200,17472,-1212.142084
2534.171,17473,-1212.264331
2534.257,17474,-1212.175549
2537.050,17475,-1212.518271
2537.127,17476,-1211.044754
2565.026,17477,-1212.552457
2570.230,17478,-1212.476080
2570.368,17479,-1212.617727
2570.485,17480,-1211.203566
2570.772,17481,-1211.410555
2598.267,17482,-1212.226683
2598.352,17483,-1211.258018
2598.416,17484,-1210.585556
2622.726,17485,-1210.975950
2622.805,17486,-1210.597311
2653.268,17487,-1210.841948
2653.389,17488,-1210.526704
2653.477,17489,-1212.373523
2662.200,17490,-1212.512357
2662.282,17491,-1212.106456
2687.289,17492,-1210.824206
2687.386,17493,3.888438
2687.462,17494,6.483085
2713.667,17495,3.305983
2713.781,17496,-1212.387298
2737.142,17497,-1211.317806
2737.211,17498,-1212.495408
2737.264,17499,-1212.319359
2757.394,17500,-1212.401001
2757.473,17501,-1212.466560
2764.202,17502,-1212.438721
2764.323,17503,-1212.448601
2788.390,17504,-1212.434466
2814.270,17505,-1212.423936
2814.446,17506,-1212.403886
2814.575,17507,-1212.272120
2814.703,17508,-1212.252935
2840.502,17509,-1212.216442
2840.657,17510,-1212.060515
2840.738,17511,-1212.110207
2869.204,17512,-1212.024887
2869.293,17513,-1211.887495
2869.364,17514,-1211.864777
2881.076,17515,-1211.691108
2881.155,17516,-1211.597350
2881.217,17517,-1211.453179
2881.275,17518,-1211.293429
2902.207,17519,-1211.219505
2902.301,17520,-1210.913853
2902.403,17521,-1210.879163
2902.470,17522,-1210.829831
2902.535,17523,-1210.686886
2930.493,17524,-1210.817715
2930.568,17525,-1210.902169
2953.444,17526,-1211.242872
2954.221,17527,-1211.617255
2954.374,17528,-1211.847035
2980.715,17529,-1212.165668
2980.785,17530,-1212.336164
3000.212,17531,-1212.462016
3000.338,17532,-1212.513511
3000.439,17533,-1212.489206
3030.976,17534,-1211.108942
3031.063,17535,-1210.535287
3031.131,17536,-1210.700373
3053.824,17537,-1210.867190
3054.000,17538,-1212.299165
3080.637,17539,-1210.680828
3080.723,17540,-1212.243488
3080.783,17541,-1212.328663
3108.225,17542,-1212.235049
3108.295,17543,-1212.506587
3113.150,17544,-1212.232164
3113.222,17545,-1212.599985
3113.279,17546,-1211.936971
3113.334,17547,-1210.462083
3113.388,17548,-1210.374816
3139.267,17549,-1212.022579
3139.396,17550,-1212.561111
3141.024,17551,-1212.568179
3141.074,17552,-1212.648523
3166.374,17553,-1212.602220
3198.855,17554,-1211.628362
3199.018,17555,-1212.320369
3199.148,17556,-1212.583829
3199.256,17557,-1212.264908
3203.253,17558,-1212.628329
3203.376,17559,-1212.607197
3203.431,17560,-1212.619890
3230.514,17561,-1212.582964
3230.600,17562,-1212.534426
3231.015,17563,-1212.453794
3257.189,17564,-1212.588517
3257.293,17565,-1212.347703
3281.109,17566,-1211.398583
3281.188,17567,-1210.630343
3281.290,17568,-1210.509323
3309.238,17569,-1210.601783
3309.345,17570,-1211.542249
3309.411,17571,-1211.032133
3309.463,17572,-1210.922147
3317.238,17573,-1211.895212
3317.446,17574,-1211.651802
3317.567,17575,-1212.332846
3343.199,17576,-1212.011833
3367.234,17577,-1210.101908
3367.342,17578,4.210028
3367.420,17579,6.551457
3367.496,17580,2.944582
3398.421,17581,-1212.331692
3404.888,17582,-1211.089397
3411.523,17583,-1212.463891
