timestamp_ms,sample_index,raw_ecg_mv
5.877,142625,-1218.090172
5.953,142626,-1217.840414
5.996,142627,-1218.228501
32.407,142628,-1217.967565
33.113,142629,-1218.211480
34.151,142630,-1218.173977
34.186,142631,-1217.484638
57.833,142632,-1215.701071
88.803,142633,-1213.738280
88.854,142634,-1214.680477
88.889,142635,-1217.994322
88.924,142636,-1218.576632
95.697,142637,-1219.153821
95.731,142638,-1218.508766
95.765,142639,-1218.372744
121.913,142640,-1218.022738
121.962,142641,-1217.749830
147.764,142642,-1218.090099
147.813,142643,-1217.682252
147.865,142644,-1217.984153
178.901,142645,-1217.768004
178.963,142646,-1217.530075
183.817,142647,-1217.763244
183.866,142648,-1217.464661
183.902,142649,-1217.614962
185.710,142650,-1217.426869
185.745,142651,-1217.213173
211.092,142652,-1217.424633
211.140,142653,-1216.930744
235.876,142654,-1217.078017
235.925,142655,-1216.854079
235.960,142656,-1216.503063
263.006,142657,-1216.598768
263.055,142658,-1216.038600
270.962,142659,-1216.166688
271.010,142660,-1215.932292
271.043,142661,-1215.786751
296.990,142662,-1216.184718
297.041,142663,-1215.961069
297.075,142664,-1216.597470
324.283,142665,-1216.840376
324.336,142666,-1217.014838
349.056,142667,-1217.635084
349.106,142668,-1217.460117
349.139,142669,-1217.886139
370.795,142670,-1217.758051
370.844,142671,-1217.858156
377.243,142672,-1218.166548
377.285,142673,-1217.804209
401.836,142674,-1218.200518
430.598,142675,-1218.011343
430.694,142676,-1217.966988
430.731,142677,-1218.227491
430.774,142678,-1217.899843
451.873,142679,-1218.140224
451.924,142680,-1218.015526
472.876,142681,-1217.823610
475.372,142682,-1218.038749
475.437,142683,-1217.733458
499.902,142684,-1218.018988
499.955,142685,-1217.953068
499.990,142686,-1217.684271
530.573,142687,-1218.159553
530.633,142688,-1217.743771
551.880,142689,-1218.047259
551.929,142690,-1217.910444
551.963,142691,-1217.700715
579.933,142692,-1217.949174
579.987,142693,-1217.623977
601.919,142694,-1217.670207
601.969,142695,-1217.888303
603.786,142696,-1217.431629
631.091,142697,-1218.007376
631.143,142698,-1217.902078
660.015,142699,-1217.812648
660.063,142700,-1218.101134
660.097,142701,-1217.832697
