timestamp_ms,sample_index,raw_ecg_mv
13.398,81839,8.691089
13.561,81840,8.872836
13.661,81841,8.636277
13.727,81842,8.674934
23.598,81843,8.437798
23.906,81844,8.416306
24.036,81845,8.448472
24.598,81846,8.411401
24.669,81847,8.593941
54.421,81848,8.464699
54.612,81849,8.154360
54.729,81850,8.369066
78.868,81851,8.389260
78.973,81852,8.388755
99.273,81853,5.341400
99.431,81854,7.896813
99.563,81855,9.776664
130.884,81856,6.007010
131.055,81857,3.887789
132.034,81858,3.137796
132.131,81859,3.433062
158.227,81860,3.474171
184.115,81861,3.511746
184.224,81862,3.695873
184.316,81863,3.598076
184.385,81864,3.522420
217.209,81865,3.590143
220.551,81866,3.396784
220.669,81867,3.606442
247.880,81868,3.719312
247.995,81869,3.655773
248.176,81870,3.654187
248.316,81871,3.618991
248.428,81872,3.780111
271.835,81873,3.931278
271.951,81874,3.919738
296.180,81875,3.967122
296.275,81876,3.852016
296.342,81877,5.403929
327.048,81878,8.391135
327.124,81879,8.443207
332.163,81880,8.424311
332.254,81881,8.289227
332.328,81882,8.279996
358.196,81883,8.029085
358.278,81884,7.785313
358.338,81885,7.688815
358.395,81886,7.539523
384.255,81887,7.526541
409.294,81888,7.457521
409.470,81889,7.526902
409.604,81890,7.616837
409.729,81891,7.521132
418.313,81892,7.691627
418.416,81893,7.849790
418.470,81894,7.927754
421.556,81895,7.913257
421.885,81896,7.819211
446.168,81897,7.797935
446.244,81898,7.797646
446.301,81899,7.604721
470.474,81900,7.600033
470.562,81901,7.375446
495.271,81902,7.083354
495.429,81903,7.306570
495.559,81904,7.289838
521.958,81905,7.456799
522.084,81906,7.538369
541.290,81907,7.475551
541.406,81908,7.266903
541.499,81909,7.380639
548.946,81910,7.553370
549.110,81911,7.621958
549.231,81912,7.741752
549.313,81913,7.715644
549.398,81914,7.393260
577.394,81915,8.010044
577.956,81916,8.658923
601.574,81917,10.984557
628.521,81918,14.087446
628.739,81919,10.735016
628.803,81920,7.918089
628.865,81921,7.210071
655.297,81922,7.553082
660.141,81923,7.466969
660.258,81924,7.223774
660.324,81925,7.266470
660.377,81926,5.884187
671.187,81927,2.659485
671.404,81928,2.752017
671.880,81929,2.796516
694.093,81930,2.951217
694.160,81931,2.885370
719.164,81932,2.944582
719.238,81933,7.491562
719.289,81934,7.632560
748.197,81935,7.778390
748.289,81936,7.817840
757.074,81937,7.931143
757.148,81938,8.168784
757.203,81939,8.080002
759.024,81940,8.156668
759.094,81941,8.040696
765.285,81942,8.036946
765.506,81943,8.014804
789.120,81944,7.957251
815.478,81945,8.046033
815.556,81946,7.815316
815.615,81947,7.553803
840.287,81948,7.606308
840.362,81949,7.384894
855.865,81950,7.353089
856.011,81951,7.234376
856.124,81952,7.254859
862.208,81953,7.359724
862.286,81954,7.201561
886.306,81955,7.335563
886.401,81956,7.414176
886.476,81957,7.523800
913.216,81958,7.511756
913.334,81959,7.303036
938.427,81960,7.315225
938.639,81961,7.242454
938.808,81962,7.095831
965.273,81963,7.075781
965.374,81964,6.902689
981.426,81965,7.168024
982.085,81966,7.553226
999.746,81967,7.530075
1027.847,81968,7.605658
1028.012,81969,7.425282
1028.079,81970,7.313061
1028.144,81971,7.163481
1052.240,81972,7.036402
1052.363,81973,7.048735
1052.483,81974,6.858983
1087.105,81975,6.868431
1087.197,81976,6.923172
1087.259,81977,7.023637
1087.317,81978,7.964319
1089.095,81979,8.955271
1116.386,81980,12.263129
1116.565,81981,13.146475
1116.629,81982,8.912430
1116.689,81983,7.291857
1141.246,81984,7.082921
1143.095,81985,7.331668
1143.183,81986,7.205095
1179.087,81987,7.203076
1179.172,81988,7.384029
1179.235,81989,7.305488
1179.296,81990,7.278948
1179.356,81991,7.247719
1204.402,81992,7.674174
1204.534,81993,7.367657
1231.943,81994,7.147398
1232.019,81995,7.322653
1232.075,81996,7.343208
1256.322,81997,7.357776
1256.403,81998,7.626141
1284.209,81999,7.459396
1284.324,82000,7.595129
1284.414,82001,7.744204
1292.220,82002,7.807094
1292.288,82003,7.888736
1292.346,82004,7.825485
1319.173,82005,7.873302
1319.251,82006,7.891621
1344.256,82007,7.772476
1344.360,82008,7.772332
1344.500,82009,7.633930
1369.163,82010,7.395785
1369.273,82011,7.512694
1369.361,82012,7.456872
1369.445,82013,7.441005
1384.169,82014,7.465598
1384.245,82015,7.374364
1384.317,82016,7.386914
1391.122,82017,7.172640
1391.194,82018,7.087465
1416.151,82019,7.005390
1441.161,82020,6.867133
1441.220,82021,6.860786
1443.036,82022,6.848021
1443.091,82023,6.921801
1469.919,82024,7.124319
1495.196,82025,7.260989
1495.320,82026,7.411651
1495.418,82027,7.317749
1495.512,82028,7.271230
1502.152,82029,7.386264
1529.037,82030,7.707638
1529.149,82031,7.710379
1553.558,82032,7.642873
1553.661,82033,5.736915
1553.726,82034,2.968959
1553.784,82035,2.831207
1553.827,82036,2.930590
1581.802,82037,2.990523
1581.883,82038,2.840943
1610.234,82039,2.646792
1610.374,82040,2.569405
1610.492,82041,2.905564
1614.172,82042,3.548384
1614.256,82043,5.141262
1614.312,82044,8.301560
1641.177,82045,6.721880
1641.279,82046,3.306272
1666.306,82047,2.019766
1666.393,82048,2.424513
1666.451,82049,2.396097
1691.167,82050,2.342655
1691.267,82051,2.372657
1718.176,82052,2.302267
1718.253,82053,2.482499
1718.429,82054,2.497860
1718.622,82055,2.532335
1718.740,82056,2.669798
1745.289,82057,2.733265
1745.400,82058,6.458275
1770.681,82059,7.339530
1771.207,82060,7.356550
1771.304,82061,7.466319
1795.172,82062,7.354315
1795.258,82063,7.541326
1814.340,82064,7.611428
1814.569,82065,7.598951
1814.678,82066,7.542047
1821.525,82067,7.617847
1821.592,82068,7.770529
1849.177,82069,7.840991
1849.256,82070,7.798295
1849.315,82071,7.777092
1881.771,82072,7.731511
1881.859,82073,7.650302
1881.935,82074,7.577459
1881.995,82075,7.469349
1882.054,82076,7.436028
1899.146,82077,7.305128
1899.222,82078,7.343713
1899.277,82079,7.227525
1930.446,82080,7.074411
1930.528,82081,6.942067
1930.583,82082,6.961252
1930.636,82083,6.910334
1947.226,82084,6.859849
1949.384,82085,6.901968
1949.475,82086,7.024502
1977.327,82087,7.024358
1977.409,82088,7.296762
2000.495,82089,7.424705
2000.581,82090,7.495601
2000.646,82091,7.391890
2027.580,82092,7.355108
2027.763,82093,6.257200
2055.341,82094,3.036393
2055.406,82095,2.891428
2055.452,82096,2.877725
2060.233,82097,2.735646
2060.325,82098,2.714225
2060.372,82099,2.508318
2086.482,82100,2.578781
2086.646,82101,2.722591
2086.762,82102,2.614842
2086.877,82103,2.756128
2095.376,82104,2.808560
2121.118,82105,2.845126
2121.214,82106,3.569444
2121.274,82107,4.352973
2121.328,82108,7.187137
2148.189,82109,7.714562
2148.264,82110,4.074439
2152.036,82111,2.748123
2155.184,82112,2.685665
2155.364,82113,2.967300
2180.162,82114,5.278798
2180.228,82115,7.171631
2204.121,82116,7.238559
2204.178,82117,7.210504
2204.219,82118,7.142133
2231.229,82119,7.104630
2231.303,82120,7.147181
2243.226,82121,7.232213
2243.298,82122,7.264163
2243.352,82123,7.250820
2269.331,82124,7.390159
