label,mae,mape,r2,num_epochs
11,4.213552393775921,3.2915186427000602,0.8854099135639941,12047
1,5.3491385021442595,3.9014779353629887,0.8339755085224428,12824
2,5.393753356951887,4.125695155449752,0.8604150949641854,11219
8,5.468352241949586,4.24362859328459,0.8810676542080469,9719
7,5.54422360209848,4.52175523100256,0.7837716442977473,6194
3,5.628660398566705,4.481741010248451,0.8104175290863123,9066
12,5.825987900303649,4.632703241834837,0.7927967880957629,9880
4,5.848862045188005,4.6410338621644325,0.8233437582973091,12271
10,5.931645566624547,4.428981545931718,0.8263660894076641,11868
5,6.2199566611917625,4.760217134578112,0.776900293361007,13089
9,6.302369090654965,5.1109077062422275,0.749779948945543,12517
