fitur_aktif,jumlah_fitur,MAE,MAPE,R2
"ecg_mean, ecg_sf, ecg_skewness, ecg_cv, ecg_cm10",5,14.754796010202707,11.698872807265968,0.22615744924882453
"ecg_mean, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",5,14.779174666968157,11.69548717791455,0.2236707249375881
"ecg_mean, ecg_mobility, ecg_cv, ecg_complexity",4,14.809301923004572,11.72582680498668,0.21894704227225337
"ecg_mean, ecg_sf, ecg_mobility",3,14.844353582824054,11.751484314092954,0.21777841923486696
"ecg_sf, ecg_mobility, ecg_cv",3,14.840963113481516,11.744207106956567,0.21713480255237838
"ecg_sf, ecg_skewness, ecg_cv, ecg_cm10",4,14.669264418722735,11.618931573072492,0.21591109598246916
"ecg_mean, ecg_sf, ecg_skewness, ecg_cv",4,14.870732385193557,11.77226263916434,0.21099947245130846
"ecg_mean, ecg_sf, ecg_cv, ecg_complexity, ecg_cm10",5,15.04641735005751,11.918571063149056,0.20508285759355105
"ecg_mean, ecg_sf, ecg_skewness",3,15.080096124967813,11.941624747267381,0.20353697464585485
"ecg_mean, ecg_mobility, ecg_complexity, ecg_cm10",4,14.853923528156097,11.769616464238311,0.20251124745375737
"ecg_mean, ecg_skewness, ecg_complexity, ecg_cm10",4,14.934735452099103,11.821574003271866,0.20127472076784148
"ecg_sf, ecg_skewness, ecg_cv",3,15.077087488324834,11.935086848899408,0.19851582810254598
"ecg_mean, ecg_mobility, ecg_skewness",3,15.053248862581718,11.895462627957585,0.1978955791715803
"ecg_mean, ecg_sf, ecg_complexity, ecg_cm10",4,15.0175929163157,11.887749261072894,0.1951573903915862
"ecg_mean, ecg_skewness, ecg_cv, ecg_complexity",4,15.143445269568042,11.967843867964397,0.1932472268568678
"ecg_mobility, ecg_skewness, ecg_cv",3,15.143116889697298,11.963550306537691,0.1932195220595223
"ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",4,15.055366433887821,11.903810859249072,0.1880281145191539
"ecg_mobility, ecg_skewness, ecg_cm10",3,15.55436965652795,12.347093920957835,0.18691103835284972
"ecg_mobility, ecg_cv, ecg_complexity, ecg_cm10",4,14.960592410007967,11.853915485800904,0.1868580512115825
"ecg_mean, ecg_sf, ecg_cv, ecg_complexity",4,15.202938464402553,12.02880728905131,0.18656373813625948
"ecg_sf, ecg_mobility",2,14.890819598866237,11.766943650508026,0.1864824157929018
"ecg_sf, ecg_cv, ecg_complexity, ecg_cm10",4,15.12115118711696,11.969148092326844,0.18457750873778844
"ecg_sf, ecg_mobility, ecg_cm10",3,15.552142895120587,12.37049226422631,0.18099241045506542
"ecg_sf, ecg_skewness, ecg_cm10",3,15.567847391330771,12.361135097969282,0.17938936428790797
"ecg_mean, ecg_sf, ecg_complexity",3,15.406116915154879,12.192834003754935,0.17542066858207328
"ecg_sf, ecg_cv, ecg_complexity",3,15.458700814576245,12.232962430647458,0.17127841789050824
"ecg_skewness, ecg_complexity, ecg_cm10",3,15.755390115542623,12.516638798398153,0.17073702352837072
"ecg_mean, ecg_skewness, ecg_complexity",3,15.572474650592223,12.315282810524879,0.16241326368764675
"ecg_sf, ecg_skewness",2,15.141340423502701,11.954924336463586,0.16204030044004247
"ecg_mean, ecg_mobility, ecg_complexity",3,15.522225181145922,12.286382178274728,0.15810114433599287
"ecg_mobility, ecg_complexity, ecg_cm10",3,15.817933278580426,12.562560640054471,0.1561200168717286
"ecg_sf, ecg_complexity, ecg_cm10",3,15.874466720459973,12.616723421974008,0.15456662529843657
"ecg_mobility, ecg_skewness",2,15.24916941250644,12.018654398024902,0.14925207487726233
"ecg_skewness, ecg_cv, ecg_complexity",3,15.724102776906847,12.429234283133848,0.1486004816444555
"ecg_mobility, ecg_cv, ecg_complexity",3,15.68171144991907,12.413691981679372,0.14094416912029606
"ecg_sf, ecg_complexity",2,15.58967547962156,12.3258344594881,0.1282241766602994
"ecg_mobility, ecg_complexity",2,15.748609736709302,12.43876880636595,0.10694952538666636
"ecg_skewness, ecg_complexity",2,15.890346222541348,12.539678121281458,0.10469125525237455
"ecg_mean, ecg_mobility, ecg_cv",3,16.943270492546855,13.459500068555903,0.05942550280959813
"ecg_mean, ecg_complexity, ecg_cm10",3,17.05225149663025,13.556032081446798,0.05651017603408248
"ecg_mean, ecg_mobility, ecg_cv, ecg_cm10",4,16.818695006009488,13.35707501602726,0.05448457232186621
"ecg_cv, ecg_complexity, ecg_cm10",3,17.115665447519177,13.604959872681777,0.05149035219488707
"ecg_mean, ecg_mobility, ecg_cm10",3,17.065249898791656,13.565004698071387,0.05062710284753458
"ecg_complexity, ecg_cm10",2,17.11678276291814,13.607866889422818,0.050047973448517524
"ecg_sf, ecg_cv, ecg_cm10",3,17.186601796578433,13.654034112432187,0.048454197377867714
"ecg_mean, ecg_skewness, ecg_cm10",3,17.16838687333261,13.647419077377426,0.04748208987746638
"ecg_mean, ecg_sf, ecg_cv",3,17.1578075430639,13.621827798940004,0.04679051681758317
"ecg_mobility, ecg_cv, ecg_cm10",3,17.116932756156285,13.606494098701386,0.04479599780813781
"ecg_skewness, ecg_cv, ecg_cm10",3,17.215825534602818,13.687369231283991,0.04406865767741519
"ecg_mean, ecg_skewness, ecg_cv",3,17.165602098632785,13.63190106656395,0.04317277830135391
"ecg_mobility, ecg_cm10",2,17.152270005486102,13.633719081654332,0.040947797401845065
"ecg_mean, ecg_cv, ecg_complexity",3,17.14358533265857,13.608669074160499,0.04079135390883837
"ecg_skewness, ecg_cm10",2,17.28342563182377,13.743138389494222,0.03555533062431282
"ecg_mean, ecg_sf, ecg_cm10",3,17.30040388901831,13.741484076522346,0.0330261891591872
"ecg_mean, ecg_cv, ecg_complexity, ecg_cm10",4,17.075757082993253,13.546513698883292,0.03088358691586124
"ecg_mean, ecg_skewness, ecg_cv, ecg_cm10",4,17.13283382367575,13.607568542116844,0.029052998595236912
"ecg_mean, ecg_sf, ecg_cv, ecg_cm10",4,17.226698534101917,13.676614044755016,0.02794499402672823
"ecg_mean, ecg_cm10",2,17.490344146290425,13.896769674271523,0.020322620509401812
"ecg_mean, ecg_cv, ecg_cm10",3,17.493973788200098,13.900566510274755,0.019953583878431602
"ecg_cv, ecg_cm10",2,17.51307444442869,13.913517423419949,0.019275778963791956
ecg_cm10,1,17.54251199256344,13.93306974465514,0.016328246754118148
"ecg_sf, ecg_cv",2,17.51184711220379,13.892911282228692,0.006634572003938022
"ecg_mean, ecg_cv",2,17.709407002378313,14.079081408646864,0.002066350076503798
ecg_cv,1,17.838812512134744,14.18047978729939,-0.010148430256925911
"ecg_sf, ecg_cm10",2,17.725736366428528,14.073553330090856,-0.021329696529442055
"ecg_cv, ecg_complexity",2,17.78824052199268,14.117939365509095,-0.022412894467393585
"ecg_skewness, ecg_cv",2,17.85642997701102,14.17930391554644,-0.02632487182034926
"ecg_mobility, ecg_cv",2,17.763782803475102,14.103365536525775,-0.027405346069256042
"ecg_mean, ecg_sf",2,18.083037474956516,14.335097955722262,-0.06440240616129733
"ecg_mean, ecg_complexity",2,18.19879316127097,14.434480309886657,-0.07901204408549467
"ecg_mean, ecg_skewness",2,18.27312606606085,14.481222330298408,-0.08416640641833872
"ecg_mean, ecg_mobility",2,18.186664486147603,14.42814922434329,-0.08468259939807643
ecg_sf,1,20.279724330234867,16.03368974112139,-0.35910086515756534
ecg_complexity,1,20.658911627816828,16.337600938428814,-0.40494010917878986
ecg_skewness,1,20.70386047316389,16.361009043595867,-0.40625206190062224
ecg_mobility,1,20.70541856061921,16.36530314720156,-0.4121109054506522
ecg_mean,1,20.88325870237526,16.524399219282007,-0.41550001905585265
