fitur_aktif,jumlah_fitur,MAE,MAPE,R2
"ecg_mean, ecg_sf, ecg_skewness, ecg_cv, ecg_complexity",5,8.40762459587988,6.54189925421709,0.7602534041666967
"ecg_mean, ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity",5,8.390664841696065,6.598887243027842,0.7591701482986128
"ecg_mean, ecg_mobility, ecg_cv, ecg_complexity, ecg_cm10",5,8.273336650454393,6.434532184843267,0.7579776397964529
"ecg_sf, ecg_skewness, ecg_cv, ecg_cm10",4,8.17672679062806,6.371803728694063,0.7560713151045959
"ecg_sf, ecg_cv, ecg_complexity, ecg_cm10",4,8.452475295909265,6.602175350913885,0.7487689857875302
"ecg_mean, ecg_sf, ecg_complexity, ecg_cm10",4,8.41629603835734,6.581246577725324,0.748694984992633
"ecg_mean, ecg_sf, ecg_mobility, ecg_cm10",4,8.498279591057962,6.608565591128582,0.7431798104628391
"ecg_sf, ecg_skewness, ecg_cm10",3,8.638244821118704,6.761261338643669,0.7428348237042424
"ecg_mean, ecg_sf, ecg_skewness, ecg_cv, ecg_cm10",5,8.693011322282237,6.775903637147744,0.7418840393369278
"ecg_sf, ecg_mobility, ecg_cv, ecg_cm10",4,8.600323276311734,6.691221034460282,0.7400477386534279
"ecg_sf, ecg_complexity, ecg_cm10",3,9.000357324292073,7.062165525239053,0.7324254861670179
"ecg_sf, ecg_mobility, ecg_cm10",3,9.14176680188838,7.184082108179732,0.7240043714821811
"ecg_mean, ecg_sf, ecg_cv, ecg_complexity, ecg_cm10",5,9.086384022993823,7.1142637503843655,0.7235147858918201
"ecg_mean, ecg_sf, ecg_mobility, ecg_cv, ecg_cm10",5,9.26821897281135,7.215931702653661,0.7174338782458067
"ecg_mean, ecg_sf, ecg_skewness, ecg_cv",4,11.034090646750693,8.662155643462892,0.6261271293442388
"ecg_sf, ecg_skewness",2,10.594631742103902,8.299596255519889,0.6225633074226509
"ecg_mean, ecg_skewness, ecg_cv, ecg_cm10",4,10.982660878132963,8.62068349279895,0.6205599059721107
"ecg_skewness, ecg_cm10",2,10.98295757768831,8.632945036741807,0.6102553917047244
"ecg_mean, ecg_mobility, ecg_cv, ecg_cm10",4,11.466696793419313,8.9917850286179,0.5941921861652157
"ecg_mobility, ecg_complexity",2,10.958886705461246,8.678406850043096,0.5930830709994717
"ecg_mean, ecg_sf, ecg_skewness",3,11.8559899175877,9.322224278433769,0.591929605222375
"ecg_mobility, ecg_cm10",2,11.407663980627396,9.014649339121359,0.5917848270754655
"ecg_mean, ecg_skewness, ecg_cm10",3,11.69062340307087,9.188913348806947,0.5915446181961902
"ecg_skewness, ecg_cv, ecg_cm10",3,11.704072750398804,9.176087541793438,0.5902685179474103
"ecg_sf, ecg_skewness, ecg_cv",3,11.90487323102342,9.3442935506838,0.5892597523702113
"ecg_mobility, ecg_skewness",2,10.959556021047668,8.597542577416661,0.579725854194624
